t,pos,ret,act,conf,net
2026-06-11 08:00:00,0,-0.0006316748196788513,hold,medium,-0.0
2026-06-11 12:00:00,0,-0.00040668332598370327,hold,medium,-0.0
2026-06-11 16:00:00,0,0.03199645110216798,hold,medium,0.0
2026-06-11 20:00:00,0,-0.0005984767342168684,buy,low,-0.0
2026-06-12 00:00:00,0,-0.004346307302223962,hold,medium,-0.0
2026-06-12 04:00:00,0,0.007078961688640195,hold,medium,0.0
2026-06-12 08:00:00,0,-0.006600245524393755,hold,medium,-0.0
2026-06-12 12:00:00,0,0.005780484720959933,hold,medium,0.0
2026-06-12 16:00:00,0,0.0006617772633257246,hold,medium,0.0
2026-06-12 20:00:00,0,0.017814687428147513,hold,medium,0.0
2026-06-14 20:00:00,0,-0.00032022432004730206,buy,low,-0.0
2026-06-15 00:00:00,0,0.008307532457850764,hold,medium,0.0
2026-06-15 04:00:00,0,0.0013932049489968623,buy,low,0.0
2026-06-15 08:00:00,0,0.003410102949116034,buy,low,0.0
2026-06-15 12:00:00,1,-0.002255711710386077,buy,medium,-0.0023647305939407774
2026-06-15 16:00:00,0,-0.006941451666801046,hold,medium,-0.00010901888355470036
2026-06-15 20:00:00,0,0.002343914987827933,hold,low,0.0
2026-06-16 00:00:00,0,0.0007594121964376033,hold,medium,0.0
2026-06-16 04:00:00,0,0.005665820687995815,buy,low,0.0
2026-06-16 08:00:00,0,0.0017690768133613588,buy,low,0.0
2026-06-16 12:00:00,0,-0.003224184136738417,buy,low,-0.0
2026-06-16 16:00:00,0,-0.0021679280275540558,hold,medium,-0.0
2026-06-16 20:00:00,0,0.001357610236565998,hold,medium,0.0
2026-06-17 00:00:00,0,-0.002393348428183395,hold,medium,-0.0
2026-06-17 04:00:00,0,-0.00044607362757254077,hold,medium,-0.0
2026-06-17 08:00:00,0,0.002048692282256903,hold,medium,0.0
2026-06-17 12:00:00,0,0.005967366397681584,hold,medium,0.0
2026-06-17 16:00:00,1,-0.023333325687073803,buy,medium,-0.023442344570628503
2026-06-17 20:00:00,0,0.011903112236389957,sell,low,-0.00010901888355470036
2026-06-18 00:00:00,0,0.0017129368511208387,buy,low,0.0
2026-06-18 04:00:00,0,-0.011388466021127308,hold,medium,-0.0
2026-06-18 08:00:00,0,-0.00470630147517237,sell,low,-0.0
2026-06-18 12:00:00,0,-0.0064075694565458585,sell,low,-0.0
2026-06-18 16:00:00,0,-0.002443515913663874,hold,low,-0.0
2026-06-18 20:00:00,0,-0.004464222075447721,sell,low,-0.0
2026-06-19 00:00:00,-1,-0.015404882309562828,sell,medium,0.015295863426008128
2026-06-19 04:00:00,-1,0.010504934944057798,sell,medium,-0.010504934944057798
2026-06-19 08:00:00,0,0.0023866520189397278,buy,low,-0.00010901888355470036
2026-06-19 12:00:00,0,-0.005577929489802624,hold,medium,-0.0
2026-06-19 16:00:00,0,-3.368899284339477e-05,hold,low,-0.0
2026-06-19 20:00:00,0,0.010879504851378119,hold,medium,0.0
2026-06-22 00:00:00,0,-0.0045301649951317025,hold,low,-0.0
2026-06-22 04:00:00,0,0.0037472798144295716,hold,medium,0.0
2026-06-22 08:00:00,0,-0.0009720372518982057,hold,medium,-0.0
2026-06-22 12:00:00,0,-0.0008203582389960662,hold,medium,-0.0
2026-06-22 16:00:00,0,0.00033652756065238876,hold,medium,0.0
2026-06-22 20:00:00,0,0.0004652538854663657,hold,medium,0.0
2026-06-23 00:00:00,0,-0.017919445961447233,hold,medium,-0.0
2026-06-23 04:00:00,-1,-0.0031228220987015165,sell,medium,0.003013803215146816
2026-06-23 08:00:00,0,0.0019463072534655623,sell,low,-0.00010901888355470036
2026-06-23 12:00:00,0,0.005100651560828728,hold,medium,0.0
2026-06-23 16:00:00,0,-0.0058149379078801244,hold,low,-0.0
2026-06-23 20:00:00,0,-0.003133713206849409,sell,low,-0.0
2026-06-24 00:00:00,0,-0.008022434505010723,sell,low,-0.0
2026-06-24 04:00:00,0,0.0029057250903579135,hold,low,0.0
2026-06-24 08:00:00,0,-0.021704038074677356,sell,low,-0.0
2026-06-24 12:00:00,0,0.0047270000727230865,sell,low,0.0
2026-06-24 16:00:00,0,-0.001876912478972037,hold,medium,-0.0
2026-06-24 20:00:00,0,-0.0019029471925903207,hold,medium,-0.0
2026-06-25 00:00:00,0,0.00113492590412001,hold,medium,0.0
2026-06-25 04:00:00,-1,-0.0017167253089355183,sell,medium,0.001607706425380818
2026-06-25 08:00:00,0,0.005803284935023356,hold,medium,-0.00010901888355470036
2026-06-25 12:00:00,0,0.004082477001797091,sell,low,0.0
2026-06-25 16:00:00,0,-0.0005163019870180197,hold,medium,-0.0
2026-06-25 20:00:00,0,-0.0015844751239889598,hold,medium,-0.0
2026-06-26 00:00:00,0,-0.0022212880485747988,hold,medium,-0.0
2026-06-26 04:00:00,0,0.004896217148726345,sell,low,0.0
2026-06-26 08:00:00,0,0.0069587437048797,hold,medium,0.0
2026-06-26 12:00:00,0,0.006415452272139355,hold,medium,0.0
2026-06-26 16:00:00,0,0.0012142012587545992,hold,medium,0.0
2026-06-26 20:00:00,0,-0.005004951160772042,hold,medium,-0.0
2026-06-29 00:00:00,0,-0.0042536147124447865,hold,medium,-0.0
2026-06-29 04:00:00,0,-0.0013005377365707949,sell,low,-0.0
2026-06-29 08:00:00,0,-0.0008401492500432761,hold,medium,-0.0
2026-06-29 12:00:00,0,-0.004862124397180589,sell,low,-0.0
2026-06-29 16:00:00,0,-0.0018141874428406757,hold,low,-0.0
2026-06-29 20:00:00,-1,-0.0073371608399268595,sell,medium,0.007228141956372159
2026-06-30 00:00:00,0,-0.00040882151554899604,sell,low,-0.00010901888355470036
2026-06-30 04:00:00,0,0.007547472800995658,hold,medium,0.0
2026-06-30 08:00:00,0,-0.001426963382077595,hold,medium,-0.0
2026-06-30 12:00:00,0,0.004060062995817848,sell,low,0.0
2026-06-30 16:00:00,0,-0.0046347927383280085,sell,low,-0.0
2026-06-30 20:00:00,-1,-0.0026925121212952874,sell,medium,0.002583493237740587
2026-07-01 00:00:00,0,-0.0050317518302964714,hold,medium,-0.00010901888355470036
2026-07-01 04:00:00,0,-0.0005381603466356744,sell,low,-0.0
2026-07-01 08:00:00,0,0.012152869511394382,sell,low,0.0
2026-07-01 12:00:00,0,0.012054182918310508,hold,medium,0.0
2026-07-01 16:00:00,0,-0.00986205405830265,hold,medium,-0.0
